row#,xcentre,ycentre,zcentre,t_t,t_vol,t_fe,t_al,t_si,t_p,t_mn,t_loi,t_s,t_h2o,t_density,rprod1_f_t,rprod1_f_fe,rprod1_f_al,rprod1_f_si,rprod1_f_p,rprod1_f_mn,rprod1_f_loi,rprod1_f_s,rprod1_f_h2o,rprod1_l_t,rprod1_l_fe,rprod1_l_al,rprod1_l_si,rprod1_l_p,rprod1_l_mn,rprod1_l_loi,rprod1_l_s,rprod1_l_h2o,sprod1_f_t,sprod1_f_fe,sprod1_f_al,sprod1_f_si,sprod1_f_p,sprod1_f_mn,sprod1_f_loi,sprod1_f_s,sprod1_f_h2o,sprod1_l_t,sprod1_l_fe,sprod1_l_al,sprod1_l_si,sprod1_l_p,sprod1_l_mn,sprod1_l_loi,sprod1_l_s,sprod1_l_h2o
296,5375,225,25,8098.361636,3103.924136,56.70321764,2.103824683,5.446943426,0.057617044,0.040389239,10.76606335,0.003453538,0.084069593,2.612446371,8134.5267,57.1476297,2.094611284,5.508433077,0.057689716,0.039751023,10.62753044,0.003465497,0.083403329,6545.074904,58.59362899,1.520205194,4.123687574,0.058428036,0.037821377,10.78555723,0.002900149,0.084586799,8123.636134,57.0190825,2.085622648,5.461474437,0.058364107,0.040463713,10.7902356,0.003438242,0.08393725,6478.664649,58.74269342,1.524849168,4.123487028,0.058469207,0.037733832,10.85159548,0.002923597,0.083484254
5883,5375,200,35,8190.822998,3099.55489,56.66961384,1.90050685,4.469546493,0.048924295,0.046293039,11.94290835,0.002781578,0.078475225,2.622167121,8182.650201,56.66213227,1.894814644,4.546474098,0.048922909,0.046923551,11.75141132,0.002734375,0.084025163,6484.091612,58.13267146,1.429058736,3.594138268,0.049746181,0.043143911,11.88604251,0.00218239,0.08327695,8182.264002,56.41116303,1.920781216,4.492933505,0.049396898,0.046721973,11.72343343,0.002737786,0.083718825,6530.569017,58.3629847,1.415220876,3.575907386,0.049583716,0.043763733,12.03506811,0.002169102,0.084778558
5887,5375,200,40,8921.481897,3143.069051,56.53321412,3.149808597,5.102572546,0.041552103,0.041560406,10.87708764,0.004664612,0.078368512,2.872400389,8858.553746,56.93435044,3.155903606,5.078671754,0.04181538,0.041950161,10.78993674,0.00471367,0.08446251,7187.887635,57.92119716,2.726055554,4.595970203,0.042202052,0.039482539,10.946379,0.00424057,0.083166436,8890.211897,56.9381262,3.163098397,5.083290374,0.041633793,0.042077134,10.79959477,0.004680806,0.083841535,7105.680421,56.98291579,2.727551015,4.601544963,0.041797701,0.040045769,10.97774595,0.00427221,0.084486885
289,5350,175,20,8327.032919,3115.700368,52.39049829,4.404456474,9.576412866,0.051787119,0.043218779,10.64083525,0.003981672,0.084617226,2.641791905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,5375,175,25,8305.396929,3139.447753,53.67895939,3.669540066,8.083014112,0.053553667,0.037231643,10.4889058,0.003764347,0.08421752,2.658462288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,5375,175,30,8152.452077,3151.240129,57.3006866,1.76626864,4.711786745,0.050824281,0.04782727,11.16993702,0.005683243,0.083582746,2.612433652,8083.619301,57.29482731,1.753695066,4.72454314,0.051060117,0.047242554,11.09106104,0.005661581,0.08397761,6545.730797,58.66426186,1.357169974,3.698526374,0.050977158,0.044502123,11.29329855,0.005287022,0.083591213,8049.832634,57.92051065,1.770487711,4.672028399,0.050771239,0.047156519,11.20596914,0.005605024,0.083736061,6498.356848,58.87848241,1.357391917,3.684887273,0.05066733,0.044215048,11.20282611,0.005253523,0.084260761
290,5325,150,20,8482.509758,3127.170089,49.48704488,6.334674825,11.83059295,0.049790299,0.036882876,10.52992729,0.005424655,0.083520679,2.705814971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,5350,150,30,8202.975331,3108.211294,52.82116828,4.192912609,8.996731709,0.051193405,0.039531121,10.7971714,0.005067054,0.084160018,2.636833221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,5350,150,25,8477.527408,3100.396883,47.93383094,6.51299382,12.77599855,0.048718493,0.034292131,10.19558939,0.005325418,0.084705475,2.686754964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5884,5375,150,40,8950.934531,3109.023944,56.36186375,3.147159201,5.00771743,0.043908437,0.043840003,10.7213892,0.003735879,0.078550089,2.859657542,8946.481536,56.5235987,3.135840848,5.018430446,0.044076957,0.04395426,10.56029951,0.003708099,0.084738103,7156.70904,58.06942993,2.717440176,4.4615537,0.044225662,0.041560743,10.83803284,0.003268477,0.083616383,8919.552303,56.32655292,3.100365845,4.936470664,0.043808054,0.04363246,10.5544634,0.003705033,0.083889505,7071.258044,58.18184527,2.7011489,4.429290967,0.044941372,0.041470883,10.71016458,0.003231261,0.083459315
5886,5375,150,35,8211.513969,3148.81078,54.45491985,2.988016111,6.797015667,0.049824732,0.043602143,11.46665599,0.002861374,0.07817636,2.641350864,8336.662242,54.96114607,3.027709754,6.773850065,0.049299983,0.043472024,11.47812147,0.002844164,0.083432228,6590.528661,57.09607855,1.959454062,4.960202565,0.049998267,0.040765464,11.56724081,0.002245918,0.08409053,8306.362348,55.29012163,3.017219865,6.846674485,0.049370856,0.043582725,11.29063631,0.002843951,0.083553744,6619.012171,56.49169163,1.968049983,4.929911943,0.04962635,0.040138665,11.40609424,0.002267875,0.084285376
286,5275,125,20,8280.868027,3151.872682,56.52970175,3.078297656,4.986600545,0.05054163,0.052569098,11.08278108,0.004312814,0.084335057,2.651834319,8186.345084,56.01738581,3.0825264,4.961513418,0.050207956,0.052016046,11.00515688,0.004326366,0.083775258,6629.007986,58.28826078,2.04569853,3.846837637,0.050552041,0.049173353,11.02269472,0.003823645,0.084603354,8232.348002,56.57180681,3.065216321,4.967742282,0.050531886,0.052044007,10.97966541,0.004264094,0.084094049,6574.892403,58.36281749,2.045988926,3.85229885,0.05067446,0.048685675,11.01807521,0.003851024,0.084163875
287,5300,125,20,8415.823384,3132.920632,49.01730595,6.97651648,10.82106844,0.051010035,0.037041189,10.49612045,0.006625624,0.084744095,2.679460443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,5325,125,25,8371.851274,3117.987893,48.61139849,6.862015524,11.54254522,0.049238832,0.035583242,10.47503125,0.005958139,0.083856856,2.680068117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,5325,125,30,8370.22652,3131.176533,52.26676257,5.07111152,9.193284465,0.051875635,0.037286509,10.785689,0.005608162,0.084152147,2.653333922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5882,5350,125,40,8643.585601,3111.365535,54.91014167,3.962860159,7.295161262,0.047168415,0.040303355,10.55544889,0.003775803,0.077734334,2.766740946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5885,5350,125,35,8447.898955,3127.610556,49.8306179,5.444381547,11.30669865,0.048697658,0.03567748,10.72815236,0.005329995,0.078668959,2.670269229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,5325,100,30,8312.156991,3101.309869,54.23254148,4.091007649,6.558156716,0.053193864,0.039351489,11.19403855,0.005382524,0.084164418,2.662296553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,5325,100,20,8409.719916,3107.959048,49.18258634,7.168596752,10.50859668,0.051482822,0.035936944,10.57840839,0.00698805,0.083160573,2.698389685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,5325,100,25,8391.070101,3136.591977,49.86134455,6.607944813,10.07689593,0.050532395,0.036122962,10.58098354,0.006422672,0.084328188,2.672084096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,5275,100,20,8204.145862,3134.349159,57.85559128,1.740636196,3.548327968,0.049278454,0.058016904,10.9914028,0.003908975,0.083175365,2.5938818,8084.657636,58.47326738,1.748745383,3.542183361,0.049903211,0.058142922,11.02331127,0.003921899,0.084284032,6490.718921,58.95627612,1.328653035,3.042437273,0.049751053,0.05320308,11.13967115,0.003353645,0.083786636,8087.635731,58.60755517,1.742125042,3.50188382,0.049012423,0.057578837,10.96503523,0.003898644,0.083481195,6537.466966,59.01372313,1.323059347,3.036870664,0.049637589,0.054001231,11.10770716,0.003414136,0.084162345
283,5300,100,20,8344.154953,3154.682058,50.20627825,6.579785545,9.082812202,0.05133328,0.040543118,10.72819679,0.006526327,0.084591347,2.699450083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5881,5350,100,35,8346.395314,3131.159851,52.42237711,5.010868535,8.642937325,0.049803473,0.037900774,10.98711629,0.005397926,0.077454587,2.691437823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,5300,75,20,8443.838062,3134.830838,46.41046751,8.563595035,13.10486336,0.049843199,0.032443256,10.69446387,0.007735602,0.084433147,2.718229343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,5275,75,20,8352.792745,3114.798442,52.39972315,5.320825125,8.517406693,0.049991763,0.044193325,10.70915406,0.006350993,0.083339264,2.67008816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,5300,75,25,8328.714036,3100.196345,51.17875685,6.085100057,9.605734109,0.046932917,0.034287635,10.80276668,0.006381256,0.083527907,2.665170831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5300,75,30,8173.323844,3127.909579,57.80555407,2.045682908,4.23079177,0.054452946,0.039858856,11.21631675,0.004968491,0.083209425,2.628325557,8125.267151,57.11257852,2.075020171,4.221830065,0.054241812,0.040418767,11.25296569,0.004973447,0.083929862,6573.3692,58.46908268,1.480124136,3.428593187,0.054684799,0.037933235,11.46444475,0.004567589,0.083361301,8124.821905,57.56476859,2.062562593,4.208910091,0.054712509,0.040211224,11.21619419,0.00494291,0.084427497,6536.858008,58.66463923,1.482636281,3.453912034,0.055057205,0.037361797,11.33135898,0.004550566,0.083412234
5880,5325,75,35,8172.394512,3142.822985,56.77750598,2.416511677,4.830453157,0.048030021,0.041331446,11.33537773,0.003324832,0.077899616,2.637683454,8124.827673,56.88423953,2.387130514,4.820331266,0.047616085,0.041496322,11.48856438,0.003291328,0.084072372,6499.891089,58.7635797,1.672402457,3.790693494,0.048445148,0.038996056,11.63031242,0.002727116,0.084212903,8179.298323,57.26607003,2.373006842,4.82554902,0.047910858,0.041727032,11.45784602,0.003277028,0.08341402,6504.015679,58.38019292,1.64517242,3.834817434,0.048803412,0.038835648,11.52265469,0.002750962,0.084431583
276,5275,50,20,8165.68146,3099.551625,59.07143845,1.304422294,3.029347524,0.052224129,0.058154701,10.93151309,0.004019164,0.084784581,2.582399387,8063.102275,59.27861929,1.288055453,3.028857539,0.052877706,0.057233681,10.92367399,0.004029353,0.083848015,6462.918913,59.01084527,1.044441891,2.719559095,0.053190271,0.054014255,11.0783269,0.003549539,0.084605738,8175.510216,59.17343715,1.287245399,3.033720244,0.052838979,0.057568386,10.94574868,0.00406375,0.083789462,6475.763937,59.97437754,1.04922548,2.719681635,0.052390191,0.053882402,10.9955883,0.003569745,0.083896202
277,5300,50,25,8280.397653,3152.669487,53.40451615,4.675578496,7.410497047,0.048801594,0.035192747,10.76496548,0.006942565,0.084613984,2.6340144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,5300,50,20,8424.636274,3138.536759,47.77409403,8.148649855,12.04489596,0.052081102,0.030685093,10.63743346,0.008805617,0.08316793,2.674379679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,5250,25,20,8196.55004,3142.143858,58.85162779,1.243127579,2.976018723,0.054814224,0.05672394,10.94930546,0.004296233,0.083861988,2.62092442,8120.725828,59.69776505,1.225029294,2.928072337,0.054889619,0.056589595,10.87300273,0.004322281,0.084436688,6462.854351,59.64036887,0.994729911,2.673743371,0.054611931,0.052708361,10.98719382,0.003834359,0.083806409,8077.34384,58.74874566,1.236673605,2.951819256,0.054409237,0.056943053,10.88408689,0.004326235,0.084246776,6455.611124,59.64975229,1.000076156,2.644643632,0.055144176,0.052727997,10.99096337,0.003819515,0.083284795
271,5225,25,20,8140.808736,3126.785354,58.80944095,1.23108663,2.867550226,0.056071713,0.055710971,10.90819957,0.00425833,0.083877657,2.61411422,8131.864012,59.17479886,1.226106409,2.835040448,0.056475981,0.055593165,10.98988083,0.004251769,0.083527102,6435.624907,59.73421973,0.984380164,2.549653655,0.056632066,0.051516918,11.04459876,0.003780802,0.083399304,8150.505058,59.46480098,1.218276783,2.859690691,0.057072081,0.055322243,10.78504908,0.004248904,0.083855653,6454.511392,59.62804247,0.987897279,2.55645918,0.056443777,0.051461022,10.94932072,0.003770228,0.083641447
285,5275,25,20,8319.353053,3124.190582,53.77096686,4.778237336,6.933452123,0.053213588,0.045463825,10.70093109,0.006739167,0.08416642,2.656980433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,5225,0,20,8065.25256,3137.666102,58.86459479,1.268293956,2.817380675,0.056217413,0.057865857,10.83841578,0.004804566,0.084496971,2.622597227,8119.174273,58.81862177,1.278467599,2.849344222,0.055892755,0.057470285,10.87152776,0.004832703,0.083533132,6487.611159,59.83206938,1.02740359,2.545030925,0.056226833,0.053908453,10.87707294,0.004371768,0.083909227,8140.991443,59.25157936,1.284380271,2.848921764,0.05578588,0.058155229,10.80232515,0.004751987,0.084132386,6467.71071,60.05986757,1.03790711,2.575660286,0.056524403,0.053845152,10.84052663,0.004379782,0.084226209
269,5200,0,20,8144.594173,3139.327656,59.7773698,1.258466108,2.962994722,0.058668271,0.058541754,10.9249682,0.004965138,0.083356404,2.59680667,8152.808318,58.92096673,1.264110799,2.917341807,0.058832352,0.058519155,10.8364604,0.004967201,0.083831752,6511.074336,59.56118764,1.028098482,2.644214676,0.059347739,0.054541123,10.85349701,0.004518469,0.083737526,8086.77764,59.03923934,1.273395079,2.94155409,0.058846687,0.057889178,10.87338637,0.004916956,0.083657235,6498.982323,59.79913323,1.030261291,2.644837363,0.058355125,0.054658069,10.97115111,0.004493217,0.083968825
270,5250,0,20,8247.837093,3124.21834,57.63284461,2.778645868,4.534943049,0.054481274,0.051538715,10.76596269,0.006059876,0.0842845,2.618885431,8133.149421,57.12396424,2.798855041,4.585336329,0.054389624,0.051723002,10.85997646,0.005982085,0.084172014,6586.268895,58.78652057,1.842641183,3.665685595,0.054135062,0.048632544,10.8796344,0.005689351,0.0843261,8121.341944,57.69431947,2.787917807,4.607661119,0.054650458,0.052081368,10.81321461,0.006035595,0.083215892,6546.989794,58.40789251,1.849370532,3.62614796,0.054323183,0.047921243,10.82744278,0.005650385,0.083472546
273,5275,0,20,8448.449269,3134.569466,49.74585883,7.159849181,10.0852682,0.053025518,0.033083339,10.65795609,0.010001924,0.083948304,2.695300772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0